file_id,generated_text
0,BE CAREFUL WITH YOU PROPMASTIGATIONS SAID THE STRANGER
1,THEN WHY SHOULD THEY BE SURPRISED WHEN THISSI BURN
2,A YOUNG ARAB ALSO LOADED DOWN WITH BAGGAGE ENTERED AND GREETED THE ENGLISHMAN
3,I FELT THAT EVERYTHING I OWNED WOULD BE DESTROYED
4,HE MOVED ABOUT INVISIBLE BUT EVERY ONE COULD HEAR HIM
5,BUT EVERYTHING HAD CHANGED
6,ARE YOU SURE DISUS CLAIRE
7,IT HAD TOLD HIM TO DIG WHERE HIS TEARS FELL
8,THE SHOP FOLKS WERE TAKING DOWN THEIR SHUTTERS AND PEOPLE WERE OPENING THEIR BEDROOM WINDOWS
9,THE DEATLE THOUGHT THAT HE THOUGHT HIMSELF ALL HE COULD
10,THE BOY STEPPED CLOSER TO THE GIRL AND WHEN SHE SMILED HE DID THE SAME
11,YOU HAVEN'T SEEN ANYTHING YET
12,BUT I FOUND IT DIFFICULT TO GET TO WORK BECAUSE OF THE INVESTIGATIONS
13,IN THOSE DAYS VERY FEW OF THE PEOPLE HAD ANY IDEA ABOUT ASTRONOMY
14,WHEN I'M EATING THAT'S ALL I THINK ABOUT
15,GOT ANYTHING YOUN TE HANGING
16,IS THAT WHAT YOU WANT ME TO TELL VENSAN
17,ONE OV OS IS GOING TO JAIL
18,TO RORISH THE FALCON
19,THOSE CONVENTIONS GON TO COST PLENTY
20,COMING HOME A PARTY OF TOURISTS PASSED US SINGING AND PLAYING MUSIC
21,NEXT IN STILEN EXTENSION THAT MAKES IT POSSIBLE TO ADD CUSTOMPOITAN COMMANDS
22,THE VOY HAD MET THE ALCHYMIST
23,IT WAS STARLIGHT AND EXPLAINED THE SIGNS OF DE ZOTIAC TO HER
24,THOUGH YOU WON'T BLAME HER
25,BUT THAT'S WHY YOU CREATED THE GAME IN THE FIRST PLACE THE BOY ANSWERED
26,DON'T SEE THAT AGAIN
27,HE HAD SEEN THIS SHOOTING STAR AND WAS PERSUADED THAT A METEO RITE LAY SOMEWHERE NEAR BY
28,IT TURNED OUT TO BE A BITTER TEA
29,E GAN TO THROW A ROCK
30,AMONG THESE PEOPLE BUT A COUPANOF CYCLISTS A GARDMEN I EMPLOYED SOMETIMES AND HA GIRL CATRYING A BABY
31,MY TAX DOLLARS PAY FOR THOSE PUBLIC SCHOOL PROMS
32,THEY LOOKED FOR THE FALLEN MASS BUT FOUND NOTHING
33,I WAS JUST IN TOWN EARLIER THIS YEAR SO IT IS KIND OF PRAZY TO THINK ABOUT WHAT TOOK PLACE RIGHT AFTER
34,I WANT TO SEE THAT MAP CARBOARD BEFORE WE GET THROUGH
35,IT MADE ME VERY DEPRESSED
36,IT'S IMPORTANT TO KEEP AN OPEN MAND AND SHE HAS URGED ME TO DO THE SAME
37,MINES IN THE DOOR
38,FROM THIS PERSPECTIVE YOU CAN SEE THE CONCENTRIC CIRCLES
