filename,text,up_votes,down_votes,age,gender,accent,duration
cv-valid-train/sample-182715.mp3,the fine manufacturing company was a bookkeeper for fourteen years,2,0,,,,
cv-valid-train/sample-114956.mp3,the mixture took on a reddish color almost the color of blood,1,0,fourties,male,england,
cv-valid-train/sample-139880.mp3,enough said the boy,1,0,,,,
cv-valid-train/sample-034538.mp3,then he sat in the sunfilled doorway smoking the hookah,2,1,,,,
cv-valid-train/sample-142907.mp3,i've just guaranteed the bank sufficient funds to meet their needs,1,0,,,,
cv-valid-train/sample-065499.mp3,what a reception they got,1,0,,,,
cv-valid-train/sample-030866.mp3,on the very first page it described a burial ceremony,2,0,twenties,male,,
cv-valid-train/sample-188416.mp3,the boy continued to listen to his heart as they crossed the desert,1,0,,,,
cv-valid-train/sample-183133.mp3,that night there was another jetting out of gas from the distant planet,3,0,,,,
cv-valid-train/sample-177315.mp3,no doubt the impact had caused a flash of fire,3,1,,,,
cv-valid-train/sample-032425.mp3,because you will never again be able to keep it quiet,4,0,,,,
cv-valid-train/sample-193241.mp3,would you like a stamp,1,0,,,,
cv-valid-train/sample-157709.mp3,he followed the movement of the birds trying to read something into it,2,0,thirties,female,england,
cv-valid-train/sample-080130.mp3,he picked up the two stones and put them back in his pouch,3,0,twenties,male,us,
cv-valid-train/sample-130801.mp3,so that those who have the responsibility for understanding can understand he said,4,0,,,,
cv-valid-train/sample-059670.mp3,but the tradition also says that we should believe the messages of the desert,2,1,,,,
cv-valid-train/sample-075970.mp3,the englishman could not contain his excitement,3,0,,,,
cv-valid-train/sample-009434.mp3,the desert was all sand in some stretches and rocky in others,1,0,thirties,male,australia,
cv-valid-train/sample-183877.mp3,you must understand that love never keeps a man from pursuing his destiny,1,0,fourties,male,,
cv-valid-train/sample-148835.mp3,then he realized that he had been distracted for a few moments looking at the sword,2,1,fourties,female,canada,
cv-valid-train/sample-106418.mp3,i need it to get to the pyramids he said,3,0,,,,
cv-valid-train/sample-129294.mp3,the englishman was disappointed,5,0,,,,
cv-valid-train/sample-135331.mp3,and he knew that egypt was in africa,3,0,,,,
cv-valid-train/sample-194979.mp3,can i go now,1,0,fifties,male,us,
cv-valid-train/sample-016463.mp3,they climbed a tall crane without securing themselves and filmed it for their youtube channel,1,0,,,us,
cv-valid-train/sample-149354.mp3,nobody knows where she got it,1,0,,,,
cv-valid-train/sample-036461.mp3,i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing,4,0,thirties,male,england,
cv-valid-train/sample-065060.mp3,they were relieved and happy,5,0,,,,
cv-valid-train/sample-010748.mp3,but the boy was too frightened to listen to words of wisdom,5,1,fourties,male,us,
cv-valid-train/sample-058222.mp3,this peach tart is tasty,1,0,,,,
cv-valid-train/sample-159478.mp3,the only things that concerned the sheep were food and water,1,0,fifties,female,canada,
cv-valid-train/sample-013748.mp3,a young arab also loaded down with baggage entered and greeted the englishman,2,0,twenties,male,,
cv-valid-train/sample-052431.mp3,there was hardly any movement from the pit,2,0,,,,
cv-valid-train/sample-065052.mp3,that night there was another jetting out of gas from the distant planet,3,0,,,,
cv-valid-train/sample-170022.mp3,the time must have been somewhere around six o'clock,2,0,,,,
cv-valid-train/sample-183964.mp3,not to worry said the alchemist,1,0,,,,
cv-valid-train/sample-085303.mp3,it seemed to him that it fell to earth about one hundred miles east of here,5,0,,,,
cv-valid-train/sample-067199.mp3,the baby definitely has the sniffles,1,0,sixties,male,australia,
cv-valid-train/sample-102298.mp3,his girlfriend always has cold feet in the morning,2,0,twenties,male,england,
cv-valid-train/sample-180967.mp3,the boy noticed that the man's clothing was strange,1,0,fifties,male,england,
cv-valid-train/sample-112834.mp3,the thought was so dreadful to him that he forgot about the heat and went forward,3,0,,,,
cv-valid-train/sample-094424.mp3,i was never so tired in my life,1,0,,,,
cv-valid-train/sample-112948.mp3,but they don't count,3,0,thirties,male,,
cv-valid-train/sample-041518.mp3,first i gotta tell her what news to get,1,0,,,,
cv-valid-train/sample-016653.mp3,the drawer was stuck closed,2,0,thirties,male,us,
cv-valid-train/sample-135213.mp3,every search begins with beginner's luck,2,0,twenties,female,us,
cv-valid-train/sample-040858.mp3,it spread through the planet's atmosphere and obscured its more familiar features,2,0,,,,
cv-valid-train/sample-018901.mp3,should i understand the emerald tablet the boy asked,1,0,,,,
cv-valid-train/sample-037527.mp3,they think i'm working with them,1,0,fifties,female,canada,
cv-valid-train/sample-008219.mp3,the old man knew how to read and had already read the book,4,0,twenties,male,us,
cv-valid-train/sample-149067.mp3,it was such a gradual movement that he found it only by noticing the dots,2,0,,,,
cv-valid-train/sample-120970.mp3,the simum blew that day as it had never blown before,2,1,,,,
cv-valid-train/sample-031221.mp3,because we're the people and we're tough,1,0,,,,
cv-valid-train/sample-109030.mp3,by enumerating the people she wanted to talk with she was calmed,1,0,,,,
cv-valid-train/sample-002741.mp3,i had seen all that it would presently bring me,3,0,twenties,female,australia,
cv-valid-train/sample-129584.mp3,when he saw henderson in his garden he called over the fence and made himself understood,4,0,,,,
cv-valid-train/sample-007722.mp3,can i get a woot woot,2,0,,,,
cv-valid-train/sample-171376.mp3,i don't know how to turn them into reality,1,0,fourties,male,australia,
cv-valid-train/sample-165342.mp3,but he granted the travelers three days,1,0,,,,
cv-valid-train/sample-185390.mp3,whenever he saw the sea or a fire he fell silent impressed by their elemental force,1,0,fourties,female,us,
cv-valid-train/sample-110080.mp3,men have never understood the words of the wise,6,0,,,,
cv-valid-train/sample-160692.mp3,a whiskey is the perfect end to my day,1,0,twenties,male,us,
cv-valid-train/sample-109163.mp3,of course the two were unable to do anything,4,0,,,,
cv-valid-train/sample-056341.mp3,the camel drivers exchanged information about windstorms and told stories about the desert,4,0,,,,
cv-valid-train/sample-009473.mp3,he disappeared into the tent,1,0,,,,
cv-valid-train/sample-120158.mp3,i know what it's going to be like,2,0,,,,
cv-valid-train/sample-132090.mp3,that night there was another jetting out of gas from the distant planet,1,0,,,,
cv-valid-train/sample-043994.mp3,the old man wore a breastplate of gold and he knew about my past,3,0,,,,
cv-valid-train/sample-174283.mp3,it was only when i got this close to it that the strangeness of it was at all evident to me,2,0,,,,
cv-valid-train/sample-158347.mp3,your husband must have been in a great hurry,1,0,,,,
cv-valid-train/sample-032375.mp3,mecca is a lot farther away than the pyramids,1,0,,,,
cv-valid-train/sample-104145.mp3,everyone seemed very excited,1,0,,,,
cv-valid-train/sample-048753.mp3,love is the force that transforms and improves the soul of the world,3,0,,,,
cv-valid-train/sample-135076.mp3,this is unfair,1,0,twenties,male,newzealand,
cv-valid-train/sample-103614.mp3,i guess i've seen everything now,1,0,sixties,male,england,
cv-valid-train/sample-167327.mp3,the boy was getting irritated,3,0,fifties,male,scotland,
cv-valid-train/sample-096781.mp3,air was either entering or escaping at the rim with a thin sizzling sound,2,0,fourties,female,us,
cv-valid-train/sample-003800.mp3,my tax dollars pay for those public school proms,23,2,,,,
cv-valid-train/sample-128735.mp3,besides that there was a heap of bicycles,3,0,teens,male,us,
cv-valid-train/sample-001550.mp3,how strange africa is thought the boy,2,0,,,,
cv-valid-train/sample-046948.mp3,beat it out and get hold of some guys,2,1,,,,
cv-valid-train/sample-160741.mp3,i'm in the pink of condition,2,0,,,,
cv-valid-train/sample-020238.mp3,he carried two dead hawks over his shoulder,2,1,,,,
cv-valid-train/sample-040940.mp3,most of our imports come from the harbor of rotterdam,1,0,twenties,male,indian,
cv-valid-train/sample-018801.mp3,they're not worth much the englishman answered,1,0,,,,
