,filename,text,pred_str
0,cv-valid-dev/sample-000000.mp3,BE CAREFUL WITH YOUR PROGNOSTICATIONS SAID THE STRANGER,BE CAREFUL WITH YOUR PROPMASTIGATIONS SAID THE STRANGER
1,cv-valid-dev/sample-000001.mp3,THEN WHY SHOULD THEY BE SURPRISED WHEN THEY SEE ONE,THEN WHY SHOULD THEY BE SURPRISED WHEN THI SEE BURN
2,cv-valid-dev/sample-000002.mp3,A YOUNG ARAB ALSO LOADED DOWN WITH BAGGAGE ENTERED AND GREETED THE ENGLISHMAN,A YOUNG ARAB ALSO LOADED DOWN WITH BAGGAGE ENTERED AND GREETED THE ENGLISHMAN
3,cv-valid-dev/sample-000003.mp3,I THOUGHT THAT EVERYTHING I OWNED WOULD BE DESTROYED,I FELT THAT EVERYTHING I OWNED WOULD BE DESTROYED
4,cv-valid-dev/sample-000004.mp3,HE MOVED ABOUT INVISIBLE BUT EVERYONE COULD HEAR HIM,HE MOVED ABOUT INVISIBLE BUT EVERY ONE COULD HEAR HIM
5,cv-valid-dev/sample-000005.mp3,BUT EVERYTHING HAD CHANGED,BUT EVERYTHING HAD CHANGED
6,cv-valid-dev/sample-000006.mp3,ARE YOU SURE THIS IS CLAIRE,ARE YOU SURE DIS IS CLAIR
7,cv-valid-dev/sample-000007.mp3,IT HAD TOLD HIM TO DIG WHERE HIS TEARS FELL,IT HAD TOLD HIM TO DIG WHERE HIS TEARS FELL
8,cv-valid-dev/sample-000008.mp3,THE SHOP FOLKS WERE TAKING DOWN THEIR SHUTTERS AND PEOPLE WERE OPENING THEIR BEDROOM WINDOWS,THE SHOP FOLKS WERE TAKING DOWN THEIR SHUTTERS AND PEOPLE WERE OPENING THEIR BEDROOM WINDOWS
9,cv-valid-dev/sample-000009.mp3,THE TEACHER THOUGHT THAT HE'D TAUGHT HIMSELF ALL HE COULD,THE DEACLE THOUGHT THAT HE THOUGHT HIMSELF ALL HE COULD
10,cv-valid-dev/sample-000010.mp3,THE BOY STEPPED CLOSER TO THE GIRL AND WHEN SHE SMILED HE DID THE SAME,THE BOY STEPPED CLOSER TO THE GIRL AND WHEN SHE SMILED HE DID THE SAME
11,cv-valid-dev/sample-000011.mp3,YOU HAVEN'T SEEN ANYTHING YET,YOU HAVEN'T SEEN ANYTHING YET
12,cv-valid-dev/sample-000012.mp3,BUT I FOUND IT DIFFICULT TO GET TO WORK BECAUSE OF THE INVESTIGATIONS,BUT I FOUND IT DIFFICULT TO GET TO WORK BECAUSE OF THE INVESTIGATIONS
13,cv-valid-dev/sample-000013.mp3,IN THOSE DAYS VERY FEW OF THE PEOPLE HAD ANY IDEA ABOUT ASTRONOMY,IN THOSE DAYS VERY FEW OF THE PEOPLE HAD ANY IDEA ABOUT ASTRONOMY
14,cv-valid-dev/sample-000014.mp3,WHEN I'M EATING THAT'S ALL I THINK ABOUT,WHEN I'M EATING THAT'S ALL I THINK ABOUT
15,cv-valid-dev/sample-000015.mp3,GOT ANYTHING NEW ON THE HANGING,GOT ANYTHING YOUON THE HANGING
16,cv-valid-dev/sample-000016.mp3,IS THAT WHAT YOU WANT ME TO TELL VINCENT,IS THAT WHAT YOU WANT ME TO TELL VENSON
17,cv-valid-dev/sample-000017.mp3,ONE OF US IS GOING TO JAIL,ONE OF US IS GOING TO JAIL
18,cv-valid-dev/sample-000018.mp3,TO NOURISH THE FALCON,TO RORUSH THE FALCON
19,cv-valid-dev/sample-000019.mp3,THIS CONVENTION'S GONNA COST PLENTY,THOSE CONVENTIONS GON TO COST PLENTY
20,cv-valid-dev/sample-000020.mp3,COMING HOME A PARTY OF TOURISTS PASSED US SINGING AND PLAYING MUSIC,COMING HOME A PARTY OF TOURISTS PASSED US SINGING AND PLAYING MUSIC
21,cv-valid-dev/sample-000021.mp3,NEXT INSTALL AN EXTENSION THAT MAKES IT POSSIBLE TO ADD CUSTOM PYTHON COMMANDS,NEXT IN STELEN EXTENSION THAT MAKES IT POSSIBLE TO ADD CUSTOMPOITANT COMMANDS
22,cv-valid-dev/sample-000022.mp3,THE BOY HAD MET THE ALCHEMIST,THE BOY HAD MET THE ALCHYMIST
23,cv-valid-dev/sample-000023.mp3,IT WAS STARLIGHT AND I EXPLAINED THE SIGNS OF THE ZODIAC TO HER,IT WAS STARLIGHT AND EXPLAINED THE SIGNS OF THE ZOTIAC TO HER
24,cv-valid-dev/sample-000024.mp3,SO YOU WON'T BLAME HER,THOUGH YOU WON'T BLAME HER
25,cv-valid-dev/sample-000025.mp3,BUT THAT'S WHY YOU CREATED THE GAME IN THE FIRST PLACE THE BOY ANSWERED,BUT THAT'S WHY YOU CREATED THE GAME IN THE FIRST PLACE THE BOY ANSWERED
26,cv-valid-dev/sample-000026.mp3,DON'T SAY THAT AGAIN,DON'T SEY THAT AGAIN
27,cv-valid-dev/sample-000027.mp3,HE HAD SEEN THE SHOOTING STAR AND WAS PERSUADED THAT A METEORITE LAY SOMEWHERE NEARBY,HE HAD SEEN THIS SHOOTING STAR AND WAS PERSUADED THAT A METEA WRITE LAY SOMEWHERE NEARBY
28,cv-valid-dev/sample-000028.mp3,IT TURNED OUT TO BE A BITTER TEA,IT TURNED OUT TO BE A BITTER TEA
29,cv-valid-dev/sample-000029.mp3,ARE YOU GONNA THROW A ROCK,E GAN TO THROW A ROCK
30,cv-valid-dev/sample-000030.mp3,AMONG THESE PEOPLE WERE A COUPLE OF CYCLISTS A GARDENER I EMPLOYED SOMETIMES AND A GIRL CARRYING A BABY,AMONG THESE PEOPLE WETE A COUPLON OF CYCLISTS A GARDNER I EMPLOYED SOMETIMES AND THE GIRL CARRYING A BABY
31,cv-valid-dev/sample-000031.mp3,MY TAX DOLLARS PAY FOR THOSE PUBLIC SCHOOL PROMS,MIGHT TAX DOLLARS PAY FOR THOSE PUBLIC SCHOOL PROMS
32,cv-valid-dev/sample-000032.mp3,THEY LOOKED FOR THE FALLEN MASS BUT FOUND NOTHING,THEY LOOKED FOR THE FALLEN MASS BUT FOUND NOTHING
33,cv-valid-dev/sample-000033.mp3,I WAS JUST IN TOWN EARLIER THIS YEAR SO IT IS KIND OF CRAZY TO THINK ABOUT WHAT TOOK PLACE RIGHT AFTER,I WAS JUST IN TOWN EARLIER THIS YEAR SO IT IS KIND OF PRAZY TO THINK ABOUT WHAT TOOK PLACE RIGHT AFTER
34,cv-valid-dev/sample-000034.mp3,I WANT TO SEE THAT MAP COVERED BEFORE WE GET THROUGH,I WANT TO SEE THAT MAP CUPBOARD BEFORE WE GET THROUGH
35,cv-valid-dev/sample-000035.mp3,IT MADE ME VERY DEPRESSED,IT MADE ME VERY DEPRESSED
36,cv-valid-dev/sample-000036.mp3,ITS IMPORTANT TO KEEP AN OPEN MIND AND SHE HAS URGED ME TO DO THE SAME,IT'S IMPORTANT TO KEEP AN OPEN MAND AND SHE HAS URGED ME TO DO THE SAME
37,cv-valid-dev/sample-000037.mp3,MINE'S IN THE DOOR,MINES IN THE DOOR
38,cv-valid-dev/sample-000038.mp3,FROM THIS PERSPECTIVE YOU CAN SEE THE CONCENTRIC CIRCLES,FROM THIS PERSPECTIVE YOU CAN SEE THE CONCENTRIC CIRCLES
39,cv-valid-dev/sample-000039.mp3,HE MUST BE DISGUISED TO AVOID ENCOUNTERS WITH THIEVES,YOU MUST BE DISGUISSED TO AVOID IN CONTEST WITH HIVES
40,cv-valid-dev/sample-000040.mp3,OGILVY WATCHED TILL ONE AND THEN GAVE UP,OGOLVY WATCHED TILL ONE AND THEN GAVE UP
41,cv-valid-dev/sample-000041.mp3,I DON'T KNOW WHERE TO GO,I DON'T KNOW WHERE TO GO
42,cv-valid-dev/sample-000042.mp3,HIS SPEECH ENDED IN STANDING OVATIONS,HIS SPEECH ENDED IN STANDING OBATION
43,cv-valid-dev/sample-000043.mp3,IN A WAY SO AM I HE SAID,IN A WAY SO AM I HE SAID
44,cv-valid-dev/sample-000044.mp3,WHEN THE SUN SETS THE MEN WILL ONCE AGAIN SURRENDER THEIR ARMS TO ME,WHEN THE SUN SETS THE MAN WILL ONCE AGAIN SURRENDERED THE LARMS TO ME
45,cv-valid-dev/sample-000045.mp3,I WAS SCARED BUT WASTED NO TIME IN GOING OUT AND CROSSING THE BRIDGE TO THE SAND PITS,I WAS SCARED BUT WASTED NO TIME IN GOING OUT AND CROSSING THE BRIDGE TO THE SANDPILTS
46,cv-valid-dev/sample-000046.mp3,WE MUST BE GOOD,WE MUST BE GOOD
47,cv-valid-dev/sample-000047.mp3,HE ALMOST BEGAN TO TELL ABOUT HIS TREASURE BUT DECIDED NOT TO DO SO,HE ALMOST BEGAN TO TELL ABOUT HIS TREASURE BUT DECIDED NOT TO DO SO
48,cv-valid-dev/sample-000048.mp3,NOT EVEN THE TRIBAL CHIEFTAINS ARE ABLE TO SEE HIM WHEN THEY WANT TO,NOT EVEN THE TRIBAL CHIEFTAINS ARE ABLE TO SEE HIM WHEN THEY WANT TO
49,cv-valid-dev/sample-000049.mp3,WHY DIDN'T YOU TELL ME,WHY DIDN'T YOU TELL ME
50,cv-valid-dev/sample-000050.mp3,THEY COULD BARELY SEE THE BOY,THEY COULD BARELY SEE THE BOY
51,cv-valid-dev/sample-000051.mp3,OUR GENERATOR HAS BEEN DISRUPTED BY ULTRA HIGH FREQUENCY WAVES,OUR GENERATOR HAS BEEN DISRUPTED BY ULTRAHIGH FREQUENCY WAVES
52,cv-valid-dev/sample-000052.mp3,HE NEEDED SOMEONE TO TALK TO SO AS TO AVOID THINKING ABOUT THE POSSIBILITY OF WAR,HE NEEDED SOME ONE TO TALK TO SO AS TO AVOID THINKING ABOUT THE POSSIBILITY OF WAR
53,cv-valid-dev/sample-000053.mp3,ALMOST EVERYONE HERE SPEAKS SPANISH,ALMOST EVERYONE HERE SPEAK SPANISH
54,cv-valid-dev/sample-000054.mp3,THE REPORT WAS LARGELY SCATHING,THE REPORT WAS LARGELY SCATHING
55,cv-valid-dev/sample-000055.mp3,NO ONE ATTACKS AN OASIS,NO ONE ATTACKS AN OASIS
56,cv-valid-dev/sample-000056.mp3,WHERE'S THE OLD GOAT,WHERE'S THE OLD GOAT
57,cv-valid-dev/sample-000057.mp3,BEFORE GUNS WERE INVENTED ARMIES HAD TO THROW BULLETS AT EACH OTHER AND IF A BULLET TOUCHED YOU YOU HAD TO SIT OUT UNTIL THE NEXT WAR,BEFORE GUNS WERE INVENTED ARMIES HAD TO THROW BULLETS AT EACH OTHER AND HOW BULLET TOUCHED YOU YOU HAD TO SIT OUT UNTIL THE NEXT WAR
58,cv-valid-dev/sample-000058.mp3,IT WAS THE TIME OF DAY WHEN ALL OF SPAIN SLEPT DURING THE SUMMER,IT WAS THE TIME OF DAY WHEN ALL OF SPAIN SLEPT DURING THE SUMMER
59,cv-valid-dev/sample-000059.mp3,THERE WERE MOUNTAINS IN THE DISTANCE,THERE WERE MOUNTAINS IN THE DISTANCE
60,cv-valid-dev/sample-000060.mp3,EXCUSE YOU FOR WHAT,EXCUSE YOU FOR WHAT
61,cv-valid-dev/sample-000061.mp3,YESTERDAY I WAITED FOREVER FOR THE SUBWAY TRAIN,YESTERDAY I WAITED FOREVER FOR THE SUBWAY TRAIN
62,cv-valid-dev/sample-000062.mp3,I'LL GO RIGHT AFTER IT,I'LL GO RIGHT AFTER IT
63,cv-valid-dev/sample-000063.mp3,JUST MAKE YOURSELVES AT HOME,JUST MAKE YOURSELVES AT HOME
64,cv-valid-dev/sample-000064.mp3,AND YOU'VE TOLD ME ABOUT OMENS,AND YOU TOLD ME ABOUT OLMENS
65,cv-valid-dev/sample-000065.mp3,WHERE WAS HIS HORSE,WHERE WAS HIS HORSE
66,cv-valid-dev/sample-000066.mp3,IT WAS GLARINGLY HOT NOT A CLOUD IN THE SKY NOR A BREATH OF WIND,IT WAS GLARINGLY HOT NOR A CLOUD IN THE SKY NOR A BREATH OF WIND
67,cv-valid-dev/sample-000067.mp3,COMPILING THE LINUX KERNEL CAN BE TIME CONSUMING,COMPILING THE LINOX COLONEL COULD BE TIME CONSUMING
68,cv-valid-dev/sample-000068.mp3,IF THAT GUY LAYS AN EGG,IF THAT GUY LAYS AN EGG
69,cv-valid-dev/sample-000069.mp3,THE BRASS LAMP HAD BEEN DISTURBED,THE BRASS LAB HAD BEEN DISTIRED
70,cv-valid-dev/sample-000070.mp3,SADLY MY DREAM OF BECOMING A SQUIRREL WHISPERER MAY NEVER HAPPEN,SADLEY MY DREAM OF BECOMING A SQUIRREL WHISPERER MAY NEVER HAPPEN
71,cv-valid-dev/sample-000071.mp3,WHO DO YOU THINK WRITES THEM,WHO DO YOU THINK WRITES THEM
72,cv-valid-dev/sample-000072.mp3,I'M OK IF YOU'RE OK ABOUT IT,IWOLKEY OF YULOKY ABOUT IT
73,cv-valid-dev/sample-000073.mp3,THE ACHIEVED RESULTS ARE FAR BEHIND THE STATEOFTHEART IN IMAGE CLASSIFICATION,THE ACHIEVED RESULTS OR FAR BEHIND THE STATE OF THE ART AND IMAGE GLOSSIFICATION
74,cv-valid-dev/sample-000074.mp3,I'LL BE BACK IN A MINUTE,I'LL BE BACK IN A MINUTE
75,cv-valid-dev/sample-000075.mp3,JUDGE DEBRA SENT ME,JUDGE DEBORAS AND ME
76,cv-valid-dev/sample-000076.mp3,A LARGE PIECE SUDDENLY CAME OFF AND FELL WITH A LOUD AND SHARP NOISE,A LARGE PIECE SUDDENLY CAME OFF AND FELL WITH A LOUD AND SHARP NOISE
77,cv-valid-dev/sample-000077.mp3,IT LEFT A GREENISH STREAK THAT GLOWED FOR SOME SECONDS,IT LEFT A GRINNY STREAK THAT GLOWED FOR SOME SETTENCE
78,cv-valid-dev/sample-000078.mp3,THE HOMELESS SEEM TO LIKE SOUP,THE HOMELESS SEEMED TO LIKE SOUP
